LCLid,tstp,energy(kWh/hh)
MAC000065,2013-01-01 00:00:00, 0.046 
MAC000065,2013-01-01 00:30:00, 0.012 
MAC000065,2013-01-01 01:00:00, 0.016 
MAC000065,2013-01-01 01:30:00, 0.051 
MAC000065,2013-01-01 02:00:00, 0.043 
MAC000065,2013-01-01 02:30:00, 0.013 
MAC000065,2013-01-01 03:00:00, 0.016 
MAC000065,2013-01-01 03:30:00, 0.024 
MAC000065,2013-01-01 04:00:00, 0.057 
MAC000065,2013-01-01 04:30:00, 0.014 
MAC000065,2013-01-01 05:00:00, 0.012 
MAC000065,2013-01-01 05:30:00, 0.016 
MAC000065,2013-01-01 06:00:00, 0.048 
MAC000065,2013-01-01 06:30:00, 0.054 
MAC000065,2013-01-01 07:00:00, 0.015 
MAC000065,2013-01-01 07:30:00, 0.013 
MAC000065,2013-01-01 08:00:00, 0.642 
MAC000065,2013-01-01 08:30:00, 0.055 
MAC000065,2013-01-01 09:00:00, 0.062 
MAC000065,2013-01-01 09:30:00, 0.19 
MAC000065,2013-01-01 10:00:00, 0.048 
MAC000065,2013-01-01 10:30:00, 1.2359999 
MAC000065,2013-01-01 11:00:00, 0.911 
MAC000065,2013-01-01 11:30:00, 0.843 
MAC000065,2013-01-01 12:00:00, 0.214 
MAC000065,2013-01-01 12:30:00, 0.181 
MAC000065,2013-01-01 13:00:00, 0.385 
MAC000065,2013-01-01 13:30:00, 1.084 
MAC000065,2013-01-01 14:00:00, 0.476 
MAC000065,2013-01-01 14:30:00, 0.03 
MAC000065,2013-01-01 15:00:00, 0.03 
MAC000065,2013-01-01 15:30:00, 0.531 
MAC000065,2013-01-01 16:00:00, 0.927 
MAC000065,2013-01-01 16:30:00, 0.198 
MAC000065,2013-01-01 17:00:00, 0.309 
MAC000065,2013-01-01 17:30:00, 0.235 
MAC000065,2013-01-01 18:00:00, 0.229 
MAC000065,2013-01-01 18:30:00, 0.299 
MAC000065,2013-01-01 19:00:00, 0.289 
MAC000065,2013-01-01 19:30:00, 0.89 
MAC000065,2013-01-01 20:00:00, 0.511 
MAC000065,2013-01-01 20:30:00, 0.288 
MAC000065,2013-01-01 21:00:00, 0.301 
MAC000065,2013-01-01 21:30:00, 0.206 
MAC000065,2013-01-01 22:00:00, 0.177 
MAC000065,2013-01-01 22:30:00, 0.237 
MAC000065,2013-01-01 23:00:00, 0.152 
MAC000065,2013-01-01 23:30:00, 0.032 
MAC000065,2013-01-02 00:00:00, 0.028 
MAC000065,2013-01-02 00:30:00, 0.026 
MAC000065,2013-01-02 01:00:00, 0.058 
